,Entity,Code,Year,Annual CO₂ emissions
30814,World,OWID_WRL,1750,9350528.0
30815,World,OWID_WRL,1751,9350528.0
30816,World,OWID_WRL,1752,9354192.0
30817,World,OWID_WRL,1753,9354192.0
30818,World,OWID_WRL,1754,9357856.0
30819,World,OWID_WRL,1755,9361520.0
30820,World,OWID_WRL,1756,10006384.0
30821,World,OWID_WRL,1757,10010048.0
30822,World,OWID_WRL,1758,10013712.0
30823,World,OWID_WRL,1759,10017376.0
30824,World,OWID_WRL,1760,10017376.0
30825,World,OWID_WRL,1761,10973680.0
30826,World,OWID_WRL,1762,10977344.0
30827,World,OWID_WRL,1763,10981008.0
30828,World,OWID_WRL,1764,10984672.0
30829,World,OWID_WRL,1765,10988336.0
30830,World,OWID_WRL,1766,12259744.0
30831,World,OWID_WRL,1767,12263408.0
30832,World,OWID_WRL,1768,12267072.0
30833,World,OWID_WRL,1769,12270736.0
30834,World,OWID_WRL,1770,12274400.0
30835,World,OWID_WRL,1771,13611760.0
30836,World,OWID_WRL,1772,13615424.0
30837,World,OWID_WRL,1773,13619088.0
30838,World,OWID_WRL,1774,13622752.0
30839,World,OWID_WRL,1775,13626416.0
30840,World,OWID_WRL,1776,15037056.0
30841,World,OWID_WRL,1777,15040720.0
30842,World,OWID_WRL,1778,15044384.0
30843,World,OWID_WRL,1779,15048048.0
30844,World,OWID_WRL,1780,15055376.0
30845,World,OWID_WRL,1781,16843408.0
30846,World,OWID_WRL,1782,16847072.0
30847,World,OWID_WRL,1783,16854400.0
30848,World,OWID_WRL,1784,16858064.0
30849,World,OWID_WRL,1785,16869056.0
30850,World,OWID_WRL,1786,19151728.0
30851,World,OWID_WRL,1787,19159056.0
30852,World,OWID_WRL,1788,19162720.0
30853,World,OWID_WRL,1789,19170048.0
30854,World,OWID_WRL,1790,19177376.0
30855,World,OWID_WRL,1791,21419744.0
30856,World,OWID_WRL,1792,21896064.0
30857,World,OWID_WRL,1793,21914384.0
30858,World,OWID_WRL,1794,21881408.0
30859,World,OWID_WRL,1795,21892400.0
30860,World,OWID_WRL,1796,22951296.0
30861,World,OWID_WRL,1797,24094464.0
30862,World,OWID_WRL,1798,25094736.0
30863,World,OWID_WRL,1799,26428432.0
30864,World,OWID_WRL,1800,28091888.0
30865,World,OWID_WRL,1801,27959984.0
30866,World,OWID_WRL,1802,36782896.0
30867,World,OWID_WRL,1803,31488416.0
30868,World,OWID_WRL,1804,34309696.0
30869,World,OWID_WRL,1805,33419346.0
30870,World,OWID_WRL,1806,35046160.0
30871,World,OWID_WRL,1807,36874496.0
30872,World,OWID_WRL,1808,35064480.0
30873,World,OWID_WRL,1809,35090130.0
30874,World,OWID_WRL,1810,37380130.0
30875,World,OWID_WRL,1811,39582190.0
30876,World,OWID_WRL,1812,41007490.0
30877,World,OWID_WRL,1813,41220000.0
30878,World,OWID_WRL,1814,42128670.0
30879,World,OWID_WRL,1815,43488016.0
30880,World,OWID_WRL,1816,47664976.0
30881,World,OWID_WRL,1817,49431024.0
30882,World,OWID_WRL,1818,49643536.0
30883,World,OWID_WRL,1819,49947650.0
30884,World,OWID_WRL,1820,50687776.0
30885,World,OWID_WRL,1821,51435230.0
30886,World,OWID_WRL,1822,53465090.0
30887,World,OWID_WRL,1823,56550176.0
30888,World,OWID_WRL,1824,58525070.0
30889,World,OWID_WRL,1825,60756450.0
30890,World,OWID_WRL,1826,61419630.0
30891,World,OWID_WRL,1827,65915360.0
30892,World,OWID_WRL,1828,66637170.0
30893,World,OWID_WRL,1829,66395348.0
30894,World,OWID_WRL,1830,89123140.0
30895,World,OWID_WRL,1831,84528480.0
30896,World,OWID_WRL,1832,85111060.0
30897,World,OWID_WRL,1833,86807490.0
30898,World,OWID_WRL,1834,88485600.0
30899,World,OWID_WRL,1835,90445840.0
30900,World,OWID_WRL,1836,104775740.0
30901,World,OWID_WRL,1837,104691470.0
30902,World,OWID_WRL,1838,108044030.0
30903,World,OWID_WRL,1839,111612770.0
30904,World,OWID_WRL,1840,118929780.0
30905,World,OWID_WRL,1841,122619420.0
30906,World,OWID_WRL,1842,129504070.0
30907,World,OWID_WRL,1843,132852984.0
30908,World,OWID_WRL,1844,141423070.0
30909,World,OWID_WRL,1845,155210700.0
30910,World,OWID_WRL,1846,157793820.0
30911,World,OWID_WRL,1847,172402190.0
30912,World,OWID_WRL,1848,173816500.0
30913,World,OWID_WRL,1849,183511440.0
30914,World,OWID_WRL,1850,196896030.0
